Date,Open,High,Low,Market Close,Volume,Return,Market Return,Beta,Alpha,Close,Next Day Close
1001416,28.32,28.32,27.57,1849.04,13052,0,0,,,27.85,27.92
1001440,27.99,28.24,27.86,1857.62,41003,0.002513464991,0.004640245749,0.5416663528,0,27.92,27.77
1001512,28.27,28.27,27.77,1872.34,10772,-0.005372492837,0.007924117957,-0.5972793252,0.001548468944,27.77,28.28
1001536,27.86,28.34,27.86,1885.52,7932,0.01836514224,0.007039319782,0.5919318716,0.0009755173343,28.28,28.27
1001560,28.96,30.16,28.03,1890.9,146697,-0.0003536067893,0.002853324282,0.7120642779,-0.0001676650834,28.27,28.41
1001584,28.41,29.28,28.13,1888.77,5087530,0.004952246197,-0.001126447723,0.3010545208,0.002280515378,28.41,27.08
1001608,28.65,28.81,27.08,1865.09,6377658,-0.04681450194,-0.0125372597,2.460965828,-0.006907108544,27.08,26.83
1001680,26.96,27.35,26.29,1845.04,4389569,-0.009231905465,-0.01075015147,1.850918205,-0.00403996028,26.83,27.67
1001704,27.06,27.67,27.01,1851.96,3152406,0.03130823705,0.003750596193,2.085659148,-0.000930506375,27.67,28.13
1001728,27.9,28.19,27.57,1872.18,3324742,0.01662450307,0.01091816238,1.991269003,-0.001332174075,28.13,26.97
1001752,28.17,28.17,26.92,1833.08,4027743,-0.0412371134,-0.02088474399,1.956674077,-0.001204949955,26.97,26.46
1001776,26.55,26.93,26.25,1815.69,3916171,-0.01890989989,-0.009486765444,1.950124765,-0.001143124968,26.46,26.55
1001848,26.84,27.13,26.41,1830.61,2568020,0.003401360544,0.008217261757,1.859753952,-0.002091856668,26.55,26.75
1001872,26.77,26.85,25.85,1842.98,3847453,0.007532956685,0.006757310405,1.842546434,-0.002305308388,26.75,27.75
1001896,27.08,27.77,26.93,1862.31,4879889,0.03738317757,0.01048844806,1.999337237,-0.001029339776,27.75,26.73
1001920,27.37,27.4,26.48,1864.85,6795393,-0.03675675676,0.001363897525,1.975855761,-0.00341928015,26.73,26.36
1002016,26.73,26.76,26.21,1871.89,2561214,-0.01384212495,0.003775102555,1.934556833,-0.004439715146,26.36,26.67
1002040,26.36,26.79,26.3,1879.55,2359421,0.01176024279,0.004092120798,1.954366618,-0.003998266972,26.67,26.27
1002064,26.62,26.62,26.24,1875.39,2051066,-0.01499812523,-0.002213295736,1.969446257,-0.004361307286,26.27,26.19
1002088,26.43,26.51,26.03,1878.61,1881965,-0.00304529882,0.001716976202,1.968059506,-0.00446343476,26.19,25.74
1002112,26.05,26.16,25.7,1863.4,2097264,-0.01718213058,-0.008096411709,1.948561703,-0.004302476622,25.74,25.79
1002184,25.79,25.86,25.07,1869.43,3326429,0.001942501943,0.003236020178,1.948445359,-0.004305169702,25.79,26.31
1002208,25.77,26.4,25.75,1878.33,2692489,0.02016285382,0.004760809445,1.991540694,-0.003675455882,26.31,26.26
1002232,26.31,26.33,26.05,1883.95,1746904,-0.001900418092,0.002992019507,1.985161444,-0.003844611624,26.26,26.49
1002256,26.28,26.57,26.12,1883.68,1900432,0.008758568165,-0.0001433159054,1.97692926,-0.003322753146,26.49,26.32
1002280,26.61,26.63,26.21,1881.14,1685042,-0.006417516044,-0.001348424361,1.97753805,-0.003339674083,26.32,26.32
1002352,26.17,26.37,25.99,1884.66,1021408,0,0.001871205758,1.977252686,-0.003352824209,26.32,25.69
1002376,26.19,26.27,25.68,1867.72,1684381,-0.02393617021,-0.008988358643,1.994488892,-0.003459881919,25.69,25.43
